,Unnamed: 0,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
2829,2936,China Telecom,usa,CA, Los Angeles,624 S Grand Ave,,,,36.7014631,-118.755997
2830,2937,MOD Mission Critical,usa, NY, New York,85 10th Avenue,635000,60000,4.15,43.1561681,-75.8449946
2831,2938,Digital Realty,japan, Osaka,Kita Ward,,197000,,20,34.661629,135.4999268
2832,2939,Digital Realty,south africa, Johannesburg, Isando,5 Brewery Street,484376,,80,-26.205,28.049722
2833,2940,DataBank,usa, IL, Chicago,600 South Federal Street,15000,10130,1,40.0796606,-89.4337288
2834,2941,MOD Mission Critical,usa, MT, Missoula,110 East Broadway Street,,24000,,47.3752671,-109.638757
2835,2942,China Telecom,china, Guangdong Province, Zhuhai, Xiangzhou,,,,23.1357694,113.1982688
2836,2943,Enzu,usa, TX, Houston,1301 Fannin Street,,,,31.2638905,-98.5456116
2837,2944,MOD Mission Critical,poland, 00-697 Warszawa,al. Jerozolimskie 65,,9978,,,52.22835739,21.00676629
2838,2945,MOD Mission Critical,brazil,santana de parnaiba,Avenida Marcos Penteado de Ulhôa Rodrigues - Residencial Tres (Tambore),,217861,29590,,-23.4446715,-46.9167722
2839,2946,Limestone Networks,japan, Tokyo, Shinagawa City,Higashi-Shinagawa,,,,35.6821936,139.762221
2840,2947,Stellar Technologies Inc.,usa, IL, Chicago,350 East Cermak Road,,,,40.0796606,-89.4337288
2841,2948,Cogent Communications,usa, TX, Dallas,400 South Akard Street,8000,8000,,31.2638905,-98.5456116
2842,2949,Navegalo,usa, FL, Miami,50 NE 8th St,,,,27.7567667,-81.4639835
2843,2950,China Telecom,china, Guangdong, Meizhou,Meijiang,,,,23.1357694,113.1982688
2844,2951,MOD Mission Critical,usa, FL, Fort Lauderdale,5301 Northwest 33rd Avenue,64164,22000,3.15,27.7567667,-81.4639835
2845,2952,Zenlayer,indonesia, Banten, South Tangerang, Serpong,,,,-6.4453801,106.1375586
2846,2953,Cogent Communications,france,Vélizy-Villacoublay,,,,,,48.7809496,2.1900052
2847,2954,China Telecom,china, Zhejiang, Wenzhou,Cangnan,,,,29.0000001,119.9999999
2848,2955,DEAC European Data Center Operator,lithuania, Vilnius City Municipality, Vilnius,J. Tiškevičiaus g. 72,,,,54.70052875,25.32211892
2849,2956,Enzu,usa, TX, Austin,7401 E Ben White Blvd,,,,31.2638905,-98.5456116
2850,2957,atNorth,finland, Helsinki,Kuortaneenkatu,,12916.69,,1.6,60.1674881,24.9427473
2851,2958,Lumen,usa, CA, Riverside,1550 Marlborough Avenue,23000,6208,,36.7014631,-118.755997
2852,2959,Xfernet,usa, VA, Ashburn,44470 Chilum Place,,,,37.1232245,-78.4927721
2853,2960,Zenlayer,brazil,santana de parnaiba, Santana de Parnaíba - State of São Paulo, 249 - Residencial Tres (Tambore),,,,-23.4446715,-46.9167722
